Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M
PKO Zrównoważony A1 (Parasolowy FIO),"142,31",PLN,"0,05","0,44","3,15","2,32","-2,99","12,27",2016-03-22,-
Pragma 1 FIZ NFS,"104,54",PLN,"0,00","0,00","0,56","5,06","23,56","0,00",2016-03-23,-
Pretium SFIO,"9,53",PLN,"0,00","0,00","-0,21","-0,63","-2,16","-4,70",2016-03-18,-
Provide Able 2 Trend FIZ,"82,87",PLN,"0,00","0,00","-1,44","0,00","0,00","0,00",2016-03-23,-
PZU Akcji KRAKOWIAK (PZU FIO Parasolowy),"89,15",PLN,"0,09","1,77","4,38","2,19","-16,22","-11,21",2016-03-22,
PZU Akcji Małych i Średnich Spółek (PZU FIO Parasolowy),"47,16",PLN,"-0,06","1,53","4,47","1,46","-4,15","11,59",2016-03-22,
PZU Akcji Nowa Europa (PZU FIO Parasolowy),"43,44",PLN,"0,02","2,12","6,52","4,67","-5,91","-9,89",2016-03-22,-
PZU Akcji Rynków Rozwiniętych (EUR) (GI SFIO),"41,34",EUR,"0,41","1,05","6,44","-2,29","-11,34","23,51",2016-03-22,-
PZU Akcji Rynków Rozwiniętych (GI SFIO),"176,05",PLN,"0,37","0,49","3,82","-1,89","-8,49","25,65",2016-03-22,
PZU Akcji Rynków Wschodzących (EUR) (GI SFIO),"21,69",EUR,"0,09","4,83","12,97","1,78","-17,47","-24,74",2016-03-22,-
PZU Akcji Rynków Wschodzących (GI SFIO),"92,36",PLN,"0,02","4,23","10,20","2,18","-14,81","-23,43",2016-03-22,-
PZU Akcji Spółek Dywidendowych (EUR) (GI SFIO),"23,20",EUR,"0,26","4,13","10,27","6,96","10,06","15,37",2016-03-22,-
PZU Akcji Spółek Dywidendowych (GI SFIO),"98,79",PLN,"0,22","3,53","7,56","7,37","13,60","17,37",2016-03-22,
PZU Dłużny Rynków Wschodzących (EUR) (GI SFIO),"30,28",EUR,"0,03","1,17","4,20","1,88","-2,23","9,31",2016-03-22,-
PZU Dłużny Rynków Wschodzących (GI SFIO),"128,95",PLN,"0,00","0,60","1,66","2,31","0,92","11,22",2016-03-22,-
PZU Energia Medycyna Ekologia (PZU FIO Parasolowy),"81,67",PLN,"1,48","2,55","2,00","-15,98","-26,26","8,92",2016-03-22,-
PZU FIO Ochrony Majątku,"60,65",PLN,"0,00","-0,02","0,05","0,45","0,61","4,44",2016-03-22,
PZU FIZ Akcji Focus,"1 017,03",PLN,"0,00","0,00","2,74","1,70","0,00","0,00",2016-03-23,-
PZU FIZ Akord,"106,03",PLN,"0,00","0,00","1,33","0,00","0,00","0,00",2016-03-23,-
PZU FIZ Forte,"1 175,03",PLN,"0,00","0,00","0,97","0,00","0,00","0,00",2016-03-23,-
PZU FIZ Medyczny,"994,01",PLN,"0,00","0,00","-3,84","0,00","0,00","0,00",2016-03-23,-
PZU FIZ Surowcowy,"997,14",PLN,"0,00","0,00","1,30","0,00","0,00","0,00",2016-03-23,-
PZU Gotówkowy (PZU FIO Parasolowy),"74,58",PLN,"-0,07","-0,01","0,23","1,02","1,18","7,26",2016-03-22,
PZU Papierów Dłużnych POLONEZ (PZU FIO Parasolowy),"161,31",PLN,"-0,15","0,11","0,25","1,13","1,47","15,44",2016-03-22,
PZU Sejf+ (PZU FIO Parasolowy),"61,78",PLN,"-0,08","-0,05","0,23","0,28","0,67","7,00",2016-03-22,-
PZU SFIO Universum,"1 397,26",PLN,"-0,06","0,47","1,02","0,99","1,48","0,00",2016-03-22,
PZU Stabilnego Wzrostu Mazurek (PZU FIO Parasolowy),"129,50",PLN,"-0,10","0,77","1,86","1,33","-4,44","4,25",2016-03-22,
